Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Quantum Art Mint Pass,1,0,50,0.5,1,0.5,23,2
WEEPLE: THE GENESIS 60,1,0,1.5,0.5,1,0.5,23,69
findokmusic,1,0,4,0.3,1,0.3,23,25
Woman Figures,1,0,2.6,0.2,1,0.2,23,39
LAKIM,1,0,4,0.2,1,0.2,23,25
Prism NFT,1,0,2,0.1,2,0.2,23,100
Glalol | Solitudine,1,0,3.3,0.1,1,0.1,23,30
Keeton x Winterton Collab,1,0,,0.1,1,0.1,23,1
p-deprecated,1,0,3.7,0.1,1,0.1,23,27
Pixel Moon,1,0,2.5,0.1,2,0.1,23,81
Augmented Reality Collection,1,0,1,0.1,1,0.1,23,99
Gabriel Gimenez,1,0,0.2,0.1,1,0.1,23,520
gm noun town,1,0,12.5,0.1,1,0.1,23,8
Schnitzeland,1,0,3.2,0.1,1,0.1,23,31
NOTHING BVT...,1,0,2.5,0.1,1,0.1,23,40
XPUNK'S',1,0,1.7,0,1,0,23,60
Collage And Glory,1,0,1.6,0,1,0,23,61
LUSTY GIRL,1,0,1.7,0,1,0,23,60
420 Bitcoins,1,0,,0,1,0,23,1
Very Low Effort Pudgy Penguins,1,0,1.2,0,1,0,23,84
CEX Never Ending Tickets,1,0,4.4,0,1,0,23,23
AI Haiku,1,0,1.8,0,1,0,23,55
TommyWilson,1,0,1.4,0,1,0,23,74
Craft Hams,1,0,4.6,420.7,1,420.7,22,22
lackhoney Collection,1,0,50,100,1,100,22,2
Paper Vibes,1,0,3.7,6.9,1,6.9,22,27
PUNK-4156,1,0,4.4,2,1,2,22,23
Presessence Vol. 1 - The Story,1,0,6.9,0.5,2,1,22,29
OnChainBots,1,0,1,1,1,1,22,101
Matthew Chaim,1,0,4,1,1,1,22,25
TRIPTCIP // CURATED,1,0,2.7,0.9,1,0.9,22,37
AlphaBetty Doodles 26,1,0,3.9,0.5,1,0.5,22,26
Tokyo: A Love Story,1,0,4,0.5,1,0.5,22,25
JON WALTZ,1,0,4,0.3,1,0.3,22,25
Bootleg NFT Movie Cards   -  Boyz N The Hood,1,0,30,0.1,3,0.2,22,10
Asterope,1,0,7.1,0.1,3,0.2,22,42
Bored Ape Abidas Club,1,0,6,0.1,3,0.2,22,50
Travel China by yongohkim,1,0,14.3,0.1,1,0.1,22,7
ArtBlockPunks,1,0,3.4,0.1,2,0.1,22,59
Hunter Weiss Gallery,1,0,3.5,0.1,1,0.1,22,29
po10kdan2k9mz-232ea,1,0,2,0.1,1,0.1,22,49
Enriched voxels,1,0,50,0.1,1,0.1,22,2
METAVERSE BRIDGE CODEX: PHASE 1,1,0,42.9,0,3,0.1,22,7
SWAMS,1,0,5,0,1,0,22,20
COMMON PEOPLE,1,0,2.9,0,2,0,22,69
Boring III,1,0,2,0,1,0,22,50
Madams Kitchen - Virtual Food Truck,1,0,4,0,1,0,22,25
Pickle  Punks,1,0,1,0,1,0,22,101
Mindhappyface,1,0,2.4,0,1,0,22,41
MMillion Rap 'Jacuzzi on da Moon',1,0,50,0,1,0,22,2
Aped Out Yachts,1,0,2,0,2,0,22,100
BullyOc,1,0,1.9,0,1,0,22,52
99myth,1,0,2,0,1,0,22,49
Chronophotography,1,0,15,0,3,0,22,20
Triple 7 Dice,1,0,3.8,0,4,0,22,105
Depressed Ducks,1,0,3.3,0,1,0,22,30
Cool DoodleMori Frens (OFFICIAL),1,0,3,0,1,0,22,33
Tree Gifs - Official,1,0,1.8,0,1,0,22,57
EVITAGEN,1,0,1.5,0,1,0,22,65
Space Holiday 2021,1,0,,0,1,0,22,1
456 Collectors Club Mint Pass,1,0,11.1,20,5,100,21,45
Untitled Collection #76382532,1,0,50,14,1,14,21,2
101 BABES,1,0,4.2,5,1,5,21,24
PatrickLawler,1,0,50,3,1,3,21,2
What Makes an Artist,1,0,3.1,2.6,1,2.6,21,32
GIGA JAK by JakNFT,1,0,8,1.1,2,2.2,21,25
Monster Mobs,1,0,37.1,0.1,43,2.2,21,116
Art by OSF,1,0,16.7,1,1,1,21,6
Omar Z. Robles - PDAs NYC,1,0,5,0.5,2,1,21,40
Dood (for dudes),1,0,3.3,1,1,1,21,30
Adam's Coding Tokens,1,0,,1,1,1,21,1
white infinity,1,0,4,0.8,1,0.8,21,25
A Mysterious Egg - from Automagic,1,0,,0.7,1,0.7,21,1
CHROMA4,1,0,2.9,0.6,1,0.6,21,35
Seasonal - Old (Migrating to my own Contract),1,0,3.9,0.5,1,0.5,21,26
Joe Tamponi: Overkill,1,0,40,0.2,2,0.4,21,5
World of Women (Prince Lail Remix),1,0,6.1,0.2,2,0.4,21,33
Unapologetic Simplicity,1,0,46,0,34,0.3,21,74
Procedurally Generated: Series One,1,0,2.1,0.2,1,0.2,21,48
Gachapon.xyz Capsule Series 1,1,0,1.8,0.2,1,0.2,21,55
Epanastasi,1,0,10.7,0.1,3,0.2,21,28
3DSockets,1,0,10,0,4,0.1,21,40
Dumpster Statements.,1,0,2.5,0.1,1,0.1,21,40
dis[PLACE] : constructs,1,0,14.3,0.1,1,0.1,21,7
3D Doodles Society,1,0,4,0.1,1,0.1,21,25
L'arte generativa di Giorgio,1,0,2.7,0.1,1,0.1,21,37
Novagraphix,1,0,33.3,0.1,1,0.1,21,3
[Lady in the Abyss] series#1 ED n/20,1,0,25,0.1,1,0.1,21,4
Voxel Graphics,1,0,2.6,0.1,1,0.1,21,38
The Ape Mutant Club,1,0,0.2,0.1,1,0.1,21,532
Primate Punks,1,0,4.4,0.1,1,0.1,21,23
Daily Dips,1,0,2.6,0.1,1,0.1,21,39
Spread of the virus,1,0,2.2,0,1,0,21,45
infiniteness,1,0,1.9,0,1,0,21,54
A Tribute to Gxng Yxng,1,0,,0,1,0,21,1
Crypto Daddies,1,0,0.6,0,1,0,21,175
Papi Scores,1,0,8.3,0,1,0,21,12
Axur FNF,1,0,50,0,1,0,21,2
CREATUR3S,1,0,9.1,0,3,0,21,33
Beyond Believer,1,0,4.8,0,1,0,21,21
Some Kind of Heavenly Fire,1,0,3.1,0,1,0,21,32
APIARY.,1,0,2.3,0,1,0,21,43
Color and Complexity,1,0,2,0,1,0,21,50
Der Wolf,1,0,6.7,2,2,3.9,20,30
Layers of the Western World | Collection of 30 | Nathaniel Wise,1,0,10,0.8,3,2.3,20,30
OG Pixel Ducks,1,0,3.5,1,1,1,20,29
PAC DAO Action NFT 1,1,0,4.4,0.8,1,0.8,20,23
Friendly Reminders,1,0,4.8,0.7,1,0.7,20,21
Wildlife Captures,1,0,25,0.2,3,0.6,20,12
Robbie Trevino x deadmau5,1,0,1.1,0.3,2,0.6,20,185
Tide Pools,1,0,11.1,0.1,4,0.6,20,36
Eggs of Degen'$ Farm,1,0,3.9,0.5,1,0.5,20,26
Explore (Bnw),1,0,4,0.2,1,0.2,20,25
Mueo The Mysteries Collection,1,0,4.6,0.2,1,0.2,20,22
AI Fountain - Curated Remix,1,0,2.7,0.1,1,0.1,20,37
CryptoKanojo Waifu,1,0,12.5,0.1,1,0.1,20,8
Frankie_Sutera,1,0,4.2,0.1,1,0.1,20,24
Bomengo Art,1,0,2.4,0.1,1,0.1,20,42
Layers of the Western World | Nathaniel Wise | Airdrops,1,0,,0.1,1,0.1,20,1
BKLYN APE CLUB,1,0,9.1,0.1,1,0.1,20,11
The Color Series,1,0,2,0.1,1,0.1,20,50
NFTITTIES Official,1,0,4,0.1,1,0.1,20,25
DIGITAL BASKETBALLS,1,0,3.1,0.1,1,0.1,20,32
crypto.skulls,1,0,0.8,0.1,1,0.1,20,125
Doodle Queen,1,0,2.4,0,1,0,20,42
xHeadz items,1,0,,0,1,0,20,1
Travelium,1,0,33.3,0,1,0,20,3
The Olympics,1,0,25,0,1,0,20,4
Official Nexia Prime,1,0,2.4,0,1,0,20,42
Ceazors Snack Sandwich,1,0,0.8,0,1,0,20,132
Snake Bits,1,0,0.5,0,1,0,20,222
rwx stamps,1,0,33.3,0,1,0,20,3
STORM - g5r4YXsbKl,1,0,3.6,0,1,0,20,28
Seasonal Collection Airdops,1,0,,0,1,0,20,1
Osinachi X Don Jazzy,1,0,1.7,0.6,3,1.9,19,177
Murder art,1,0,11.3,0.2,6,1,19,53
The Final 25,1,0,10,0.4,2,0.8,19,20
Jack collection,1,0,33.3,0.5,1,0.5,19,3
NYC (for Louis Vuitton),1,0,4,0.5,1,0.5,19,25
Ocean Raw,1,0,11.4,0.1,4,0.4,19,35
PresidentPunks,1,0,2.2,0.4,1,0.4,19,46
EVERYDAY KANYE,1,0,8,0.1,2,0.2,19,25
Shapes of Japan,1,0,4,0.2,1,0.2,19,25
The Soul Is Soil,1,0,2.5,0.2,1,0.2,19,40
XCOPYNOUNS,1,0,8.3,0.2,1,0.2,19,12
Tokyo Airdrops,1,0,,0.1,1,0.1,19,1
SupBirds,1,0,5,0.1,1,0.1,19,20
Taped,1,0,4.2,0.1,1,0.1,19,24
More than a Moment,1,0,2,0.1,1,0.1,19,50
Beeple : Mugshot Line Up By 1Penemy 1/1 250 editions,1,0,0.6,0.1,1,0.1,19,180
Eterea,1,0,,0.1,1,0.1,19,1
Dracula&Associates,1,0,3.2,0.1,1,0.1,19,31
neon bayc,1,0,3,0.1,1,0.1,19,33
Ethereal Hideaway,1,0,,0.1,1,0.1,19,1
EtherIslands,1,0,1.9,0.1,1,0.1,19,54
Black Holes NFT,1,0,3.3,0.1,1,0.1,19,30
3D Gutter Cats,1,0,3.3,0.1,1,0.1,19,30
Halo Collection,1,0,4.3,0,3,0,19,70
CTEROID PUNKS,1,0,0.2,0,1,0,19,486
NUMb$KULL,1,0,5.9,0,1,0,19,17
Apixel,1,0,2.9,0,1,0,19,35
you're a wizard...we all are,1,0,11.1,0,1,0,19,9
LukeBanderloftNFT,1,0,2.1,0,1,0,19,47
Alieniverse,1,0,2.1,0,1,0,19,48
Deathimself Collection,1,0,25,0,1,0,19,4
Alla Prima by LANA DENINA,1,0,20,0,1,0,19,5
MxtterDAO Non Voting Members,1,0,,0,1,0,19,1
CARDELUCCI - Wild Mustangs,1,0,5,8.4,1,8.4,18,20
Hideout Trailers,1,0,5.6,4.2,1,4.2,18,18
DickBits,1,0,19.2,0.2,18,3.6,18,94
LIL HEAD BANGER BRO by JakNFT,1,0,10,0.9,2,1.8,18,20
LA 2020 Venice Beach Skatepark,1,0,10,1.2,1,1.2,18,10
KawaiiKowai Portals,1,0,4.2,1,1,1,18,24
Amazon Facades - Luiz Braga,1,0,2,1,1,1,18,50
PunKit,1,0,8.7,0.1,4,0.4,18,46
ETH-r Brew,1,0,16,0,8,0.4,18,50
Overlaps,1,0,5,0.3,1,0.3,18,20
artmadeby.ai,1,0,12.1,0,7,0.3,18,58
Droshik Original Giveaways,1,0,10,0.3,1,0.3,18,10
oilpaintingart,1,0,8,0.1,2,0.2,18,25
The #ff0000-Warrior,1,0,,0.1,1,0.1,18,1
The Divine Comedy Art,1,0,3,0,3,0.1,18,100
EKTZ NFT Collection,1,0,25,0.1,1,0.1,18,4
Non-Fragment-Token,1,0,1,0.1,1,0.1,18,100
Nbars,1,0,8.8,0,3,0.1,18,34
Generativa,1,0,3.6,0.1,1,0.1,18,28
INVKR,1,0,25,0.1,1,0.1,18,4
LOSTLAND,1,0,9.7,0,3,0.1,18,31
BitKits - Champions League '21,1,0,12.5,0,5,0.1,18,40
Randobots,1,0,0.7,0.1,1,0.1,18,150
X Ape,1,0,0.8,0,1,0,18,121
Cryptoadz Abstract by 69Toadz,1,0,1.5,0,1,0,18,69
10 YEARS OF PALM TREES,1,0,2,0,1,0,18,50
CryptoNekos,1,0,0.6,0,1,0,18,164
The Nude,1,0,6.7,0,1,0,18,15
Lbank universum,1,0,20,0,1,0,18,5
VerticalCrypto Art Auction,1,0,5.1,0,2,0,18,39
Cypher on-chain EP,1,0,5,0,1,0,18,20
NFThemes - by NFThings,1,0,4.4,0,1,0,18,23
Mos For Bros,1,0,3.9,0,1,0,18,26
One Sun One Shadow,1,0,1.7,0,1,0,18,60
Crypto Fingers Club,1,0,1,0,1,0,18,100
RW exes - an avatar graveyard & webcomic,1,0,6.5,133.7,2,267.4,17,31
Custom Made Uto's,1,0,5.9,100,1,100,17,17
Vantage x Kidmograph,1,0,1.2,100,1,100,17,81
Unique Editions by Stefano Contiero,1,0,8.3,9,2,18,17,24
Spritely - Honorary Collection,1,0,5.9,4,1,4,17,17
BOTANICA Species,1,0,4,1.3,1,1.3,17,25
BADMAN'$,1,0,4.6,0.5,2,1,17,44
The Soft Bid Guy,1,0,5.6,0.7,1,0.7,17,18
Somethings Not Right,1,0,5,0.5,1,0.5,17,20
Chronicles: A 360 Journey,1,0,6.1,0.2,2,0.4,17,33
JPEG by Travis LeRoy Southworth,1,0,4.2,0.4,1,0.4,17,24
Surrounded Solitude,1,0,5,0.4,1,0.4,17,20
Long Neck Cartel,1,0,14.8,0.1,4,0.3,17,27
FantasyCity (Adventurer),1,0,4.2,0.1,5,0.3,17,119
Gacha Olivia's Collection,1,0,4.6,0.2,1,0.2,17,22
GirlsGoneCryptoNFT,1,0,1.6,0.2,1,0.2,17,61
HYPEBAERSCLUB-OFFlCIAL,1,0,3.3,0.1,1,0.1,17,30
CitizensOfTheOrb,1,0,10.5,0.1,2,0.1,17,19
Free Art World,1,0,4.1,0.1,2,0.1,17,49
Color Owners,1,0,0.1,0.1,1,0.1,17,852
WINGS OF BEAUTY,1,0,6.3,0.1,1,0.1,17,16
Digital Collages made by Oak + Arrow,1,0,2.9,0.1,1,0.1,17,34
Dogs of Discord,1,0,4.2,0.1,1,0.1,17,24
Colorful NFT World by Irem Bozatak,1,0,3.6,0.1,1,0.1,17,28
Aurora Nova,1,0,8.3,0,2,0,17,24
NEON CORP,1,0,5.9,0,1,0,17,17
APES GLORY,1,0,10.5,0,2,0,17,19
Escobar Collection,1,0,9.1,0,1,0,17,11
Hxrrors,1,0,6.7,0,2,0,17,30
All Editions (Curated),1,0,8.7,0,2,0,17,23
Genesis Glitch,1,0,8.3,0,2,0,17,24
Rumble Kong: Drip Levels,1,0,4.2,0,1,0,17,24
The Mystery v5 chroma screen,1,0,3.7,0,1,0,17,27
Genesis Sacred Skulls,1,0,4.4,15,1,15,16,23
Artifact Series: Beyond Whiteout by Marvin Grey,1,0,22.7,0.9,5,4.3,16,22
Bad Cache,1,0,1,4,1,4,16,100
Water element by iurie,1,0,8,1.4,2,2.8,16,25
The Glass House,1,0,1.5,2,1,2,16,67
Sleight Of Hand,1,0,4.6,0.8,1,0.8,16,22
Analog Sketches,1,0,20,0.3,2,0.5,16,10
ambatambb,1,0,6.3,0.5,1,0.5,16,16
THE STICKMAN SERIES,1,0,1.3,0.5,1,0.5,16,77
Worn Out Planet,1,0,50,0.1,5,0.4,16,10
Departures Odyssey,1,0,5,0.4,1,0.4,16,20
The Dabber Jones Genesis Collection,1,0,1,0.4,1,0.4,16,96
Earth Canvas by Marco Grassi,1,0,3.3,0.3,1,0.3,16,30
Lans King ONEz Distribution,1,0,25,0.3,1,0.3,16,4
Waves & Particles: The Double Slit Series,1,0,3.3,0.3,1,0.3,16,30
Gone to Mars [OLD CONTRACT] - Please send your tokens back to the contract,1,0,2.7,0.3,1,0.3,16,37
Regret by Andy Milonakis,1,0,4.8,0.2,1,0.2,16,21
The Masks of Fear,1,0,4.6,0.2,1,0.2,16,22
[ cursedworld ],1,0,4.4,0.1,2,0.1,16,46
Classical Hypebeast World by SaintMG,1,0,5.3,0.1,1,0.1,16,19
Banksy Elon,1,0,,0.1,1,0.1,16,1
MonsterWords -CryptoVocabs,1,0,4,0,2,0.1,16,50
the hunter man story,1,0,3.3,0.1,1,0.1,16,30
Undervalued Reality,1,0,11.1,0,1,0,16,9
Nothing Face,1,0,1,0,1,0,16,99
My Faces,1,0,4.4,0,2,0,16,46
Mini Monster,1,0,4.2,0,2,0,16,48
Photos From My Past,1,0,3.1,0,2,0,16,64
ElonMasks,1,0,1.2,0,1,0,16,86
CryptoSlothz by Moure,1,0,0.8,0,1,0,16,127
CryptoFaces!,1,0,0.1,0,1,0,16,"1,600"
Sexy Girl 3D NFT,1,0,7.7,0,2,0,16,26
0xcfd83965daf2c7dd20e0bbd3a62336342c0c4531,1,0,4.4,0,1,0,16,23
This Punk Does Not Exist by Diet LARVA,1,0,2.7,0,11,0,16,404
Not a Dupe Verification,1,0,1,0,1,0,16,100
Disorder V3,1,0,,0,1,0,16,1
Feral File #010 - -GRAPH,1,0,6.9,15,2,30,15,29
Masha Lince Art Photography,1,0,,25,1,25,15,1
ENS NIFTY,1,0,4.4,8,1,8,15,23
Undaunted by Lori Grace Bailey,1,0,5.3,5.5,1,5.5,15,19
From San Francisco with love,1,0,20,0.8,4,3.2,15,20
MEEBIT HAIR SALON,1,0,6.3,2.7,1,2.7,15,16
Crossings (Houston) - by Peter Molick,1,0,4,2.4,1,2.4,15,25
The Testament Project by Kris Graves,1,0,3.1,0.6,2,1.2,15,65
MORI by Kevbro,1,0,4.8,0.7,1,0.7,15,21
Beastie,1,0,66.7,0.3,2,0.7,15,3
Roc Sol Collectibles,1,0,2.9,0.6,1,0.6,15,35
Artifacts by Cryptoforma,1,0,3.1,0.2,3,0.5,15,96
Cloud Street,1,0,6.3,0.2,2,0.4,15,32
Shantell,1,0,8.3,0.3,1,0.3,15,12
Above Us Only Sky - Collectors' Editions,1,0,20,0.3,1,0.3,15,5
The Consumers,1,0,19.4,0.1,6,0.3,15,31
GHOST STORIES || BY DECLAN RMC,1,0,5,0.3,1,0.3,15,20
The Collectibles - Constructed,1,0,5,0.3,1,0.3,15,20
Arp Maze,1,0,4.2,0.3,1,0.3,15,24
Lifeforms.,1,0,15,0.1,3,0.2,15,20
Pareidolia NFT,1,0,3.5,0.2,1,0.2,15,29
Bad Boy Biden,1,0,16.7,0.1,4,0.2,15,24
"blues, but the good kind",1,0,11.1,0.2,1,0.2,15,9
Supernatural Delight,1,0,6.3,0.2,1,0.2,15,16
MoshPunks,1,0,2.2,0.2,1,0.2,15,46
Bald Eagles,1,0,5.6,0.2,1,0.2,15,18
Dreaming Madness,1,0,10.5,0.1,2,0.1,15,19
ai-seascape,1,0,0.2,0.1,1,0.1,15,500
Digital Torqued Experiments,1,0,12.5,0.1,1,0.1,15,8
ApeZuki Official,1,0,,0.1,1,0.1,15,1
SKULL BLOCKS X REMO,1,0,0.5,0.1,1,0.1,15,224
Hanji Art,1,0,4.8,0.1,1,0.1,15,21
Fine art photography by Masha Lince,1,0,10,0.1,1,0.1,15,10
Rolanda&tattoo,1,0,3.9,0.1,1,0.1,15,26
Jurassic Club,1,0,0,0.1,1,0.1,15,"9,688"
ParticleStorm,1,0,20,0,1,0,15,5
Fancy Penguin,1,0,0.3,0,1,0,15,330
The Jellies Universe,1,0,1.2,0,1,0,15,87
Crazy Little Monsters,1,0,0.2,0,1,0,15,516
Cody Cobb - Eons,1,0,7.5,0,3,0,15,40
Glitchscapes - Headscapes,1,0,6.3,0,2,0,15,32
gmgem,1,0,6.3,0,1,0,15,16
mxtter,1,0,5.6,0,1,0,15,18
Dear Sir,1,0,5.3,0,1,0,15,19
The Hamily 2022,1,0,5.3,0,1,0,15,19
Same Old City,1,0,5,0,1,0,15,20
PupperNFT,1,0,4.4,0,2,0,15,45
Text messages,1,0,1.9,0,2,0,15,106
Adventurers (for Loot),1,0,1,0,1,0,15,99
zhannetpodobed Collection,1,0,,0,1,0,15,1
RareDucks,1,0,13.3,20,2,40,14,15
Cells Interlinked by Hideki Tsukamoto,1,0,5.6,30,1,30,14,18
Subsetas,1,0,7.1,10,1,10,14,14
harm.work,1,0,4.2,6.5,1,6.5,14,24
Color Circles,1,0,0.8,0.7,8,5.2,14,"1,000"
Marbled,1,0,12.5,0.9,2,1.8,14,16
3D BASTARDS VAN GOGH PUNKS,1,0,23.1,0.3,6,1.7,14,26
Beautiful Afghanistan,1,0,20,0.4,4,1.6,14,20
Kitsune Warriors,1,0,11.1,0.6,2,1.2,14,18
FLUORESCENT DEATH by JakNFT,1,0,5,1.1,1,1.1,14,20
Zarbuz Voxel Cities,1,0,4.8,1.1,1,1.1,14,21
DIRTY 30,1,0,10,0.5,2,1,14,20
Kellogg's Scribbles,1,0,4.8,1,1,1,14,21
Santa Maria de las Rocas,1,0,2,0.3,3,0.8,14,151
Destroyed Paintings,1,0,13.3,0.4,2,0.7,14,15
Snow Days In NYC,1,0,4.8,0.3,2,0.6,14,42
Troposphere,1,0,6.3,0.5,1,0.5,14,16
Crittlers,1,0,9.1,0.2,2,0.5,14,22
lukeabc,1,0,5.6,0.4,1,0.4,14,18
ANIMALS#2,1,0,50,0.1,5,0.4,14,10
The Gladiator Saga,1,0,11.8,0,4,0.2,14,34
The Donkey Family,1,0,3,0.2,1,0.2,14,33
Searenity by Gabriella Morton,1,0,4,0.2,1,0.2,14,25
Stanza,1,0,4,0.1,2,0.2,14,50
Karlitober 2020,1,0,6.7,0.1,1,0.1,14,15
Light Drawings by Phen,1,0,14.3,0.1,1,0.1,14,7
We The Aliens,1,0,7.1,0.1,2,0.1,14,28
"Longing, Home",1,0,5,0.1,1,0.1,14,20
New York Chronicles,1,0,4.9,0,4,0.1,14,81
QRNFT,1,0,4.7,0.1,2,0.1,14,43
Collection 1: The Early Years,1,0,5.3,0.1,1,0.1,14,19
Pixel Pumpkins Club,1,0,12,0,3,0.1,14,25
Echo Fragments,1,0,3.1,0,1,0,14,32
My Soulwax,1,0,11.1,0,1,0,14,9
Foundation,1,0,2,0,1,0,14,49
Little Bois,1,0,3.2,0,1,0,14,31
OH My Cat Tactic,1,0,4.2,0,1,0,14,24
Convergence,1,0,1.7,0,1,0,14,59
PunkNauts,1,0,1.7,0,1,0,14,60
BlobBirb,1,0,1.6,0,1,0,14,64
Just a Hellboy,1,0,2.3,0,1,0,14,43
NFT Video Game Museum,1,0,5,0,1,0,14,20
tadmajor Collection,1,0,11.1,0,2,0,14,18
Honorary Ancient Gods,1,0,7.1,0,1,0,14,14
ArtCollection A_by_Rishiraj,1,0,6.3,0,1,0,14,16
MysticalOrbs,1,0,5.3,0,1,0,14,19
City-TEXTURED by Omar Z. Robles,1,0,4,0,1,0,14,25
Suburbia Mexicana Part II Lost Rivers,1,0,3.1,0,1,0,14,32
TPSv2,1,0,1.1,0,1,0,14,89
ARTOFFICIAL2021,1,0,13.3,695,2,"1,390.00",13,15
Fed Monkey Series 2,1,0,4.8,169,1,169,13,21
m00sik,1,0,5.6,50,1,50,13,18
World of Ethereum Trophies,1,0,25,48,1,48,13,4
Solar by Martin Houra,1,0,7.1,14,1,14,13,14
SYM Open Edition by ARC x RAC,1,0,1.7,10,1,10,13,59
Sarah Meyohas Speculations,1,0,3.3,6,1,6,13,30
Nicole Buffett - Moon Collection,1,0,3.9,5,1,5,13,26
WAIFUMATERIAL_NFT,1,0,5.6,0.9,3,2.7,13,54
A Cluster of Stars,1,0,6.3,1.5,1,1.5,13,16
Vieri Bottazzini | Tales of Two Worlds,1,0,10,0.5,2,1,13,20
Fermata Metaverse Collection,1,0,9.1,1,1,1,13,11
Heads In Clouds,1,0,7.7,1,1,1,13,13
Sky Garden,1,0,5.9,1,1,1,13,17
bluugu GM,1,0,5,1,1,1,13,20
CASHDROP NFT VOL 1.0,1,0,4,0.7,1,0.7,13,25
desiderium by zach deloach,1,0,15,0.2,3,0.6,13,20
MutantCatsCommemorative,1,0,4.8,0.6,1,0.6,13,21
You are the Universe,1,0,25,0.3,2,0.5,13,8
RUSSELL X LABROSSE,1,0,3.3,0.5,1,0.5,13,30
Centralia by Poulomi Basu,1,0,2.9,0.5,1,0.5,13,34
Punk Revolution,1,0,6.3,0.4,1,0.4,13,16
Bendy Arms.,1,0,20,0.1,4,0.2,13,20
Apes Come Out At Night,1,0,13.3,0.1,2,0.2,13,15
Crypto Throne,1,0,13,0.1,3,0.2,13,23
CJStxr: Cosmos Beckoning,1,0,20,0.2,1,0.2,13,5
Yuki's,1,0,9.4,0.1,3,0.2,13,32
BitKits - NBA,1,0,28.6,0,6,0.1,13,21
things from the sketchbook,1,0,25,0.1,1,0.1,13,4
cloudform,1,0,4.2,0.1,1,0.1,13,24
Architecture Blocks,1,0,3.6,0.1,1,0.1,13,28
Crapicatures,1,0,5.6,0.1,1,0.1,13,18
Abstract emotions by QuetzalGelo,1,0,2.4,0.1,1,0.1,13,41
bysarahwanka,1,0,12.5,0,2,0,13,16
SPECTR3,1,0,4.8,0,1,0,13,21
nature cultural devil girls,1,0,3.1,0,1,0,13,32
CryptoQueen CQ-NFT (2021),1,0,1.9,0,1,0,13,54
Pixel Chihuahuas 1.0,1,0,0.4,0,2,0,13,552
A Punk In The Painting,1,0,6.7,0,1,0,13,15
Through my window (From my perspective),1,0,1.7,0,1,0,13,60
Cryptochicks Martini Club,1,0,0,0,2,0,13,"9,800"
CRiLLiANT by NFTseller2016,1,0,0,0,1,0,13,"6,785"
Instant Face,1,0,5,0,1,0,13,20
LINLIN Fingers Crossed,1,0,3.3,0,1,0,13,30
NFTipi Collection,1,0,50,0,1,0,13,2
A Cluster Of Stars Collector Editions,1,0,40,0,2,0,13,5
Figure Studies by Caitlin Cronenberg,1,0,21.1,0,4,0,13,19
Untitled Collection #59801228,1,0,7.7,0,1,0,13,13
The Door by Matt Kane,1,0,7.7,0,1,0,13,13
Brain Fetuses,1,0,2.2,0,1,0,13,46
Prismatica,1,0,,0,1,0,13,1
Honorary Freaks Club,1,0,7.7,10,1,10,12,13
Colour Wheel,1,0,14.3,1.8,2,3.5,12,14
SuperToys,1,0,8.3,3,1,3,12,12
Gregory Halpern | ZZYZX,1,0,3,1.5,2,3,12,67
Max Hay's Art,1,0,50,0.8,3,2.4,12,6
High Bunch Munch Station,1,0,9.5,1,2,2,12,21
Shattered Maps,1,0,24.2,0.1,16,1.6,12,66
Boba Vault's Boba Tea,1,0,2,1,1,1,12,51
PAY.GAME,1,0,40,0.4,2,0.8,12,5
Kaiju Bestiary,1,0,5.6,0.8,1,0.8,12,18
Minimalist dreamscapes,1,0,7.1,0.5,1,0.5,12,14
Carpets of fluuffies,1,0,7.7,0.5,1,0.5,12,13
AOTEAROA - RANGIATEA KI TE WHENUA (WHERE THE HEAVENS MEET THE EARTH),1,0,3.3,0.4,1,0.4,12,30
Glitch Textures,1,0,15,0.1,3,0.3,12,20
Pixel Abstract Expressionsims,1,0,11.1,0.3,1,0.3,12,9
ShillyBuns,1,0,7.7,0.3,1,0.3,12,13
Encircle,1,0,6.7,0.3,1,0.3,12,15
CRYPTOGUIDES,1,0,5.4,0.1,2,0.2,12,37
Tessuti,1,0,2,0.1,4,0.2,12,200
StixkTok Collector Customs,1,0,8.3,0.2,1,0.2,12,12
Street Fighter Apes,1,0,6.7,0.2,1,0.2,12,15
dreaming of,1,0,11.1,0.1,1,0.1,12,9
Scribble Pops,1,0,1.2,0.1,1,0.1,12,81
DogeHeadz,1,0,0.2,0.1,1,0.1,12,420
The Bushy Tail Bunch,1,0,2.9,0.1,1,0.1,12,34
Lost Grids,1,0,1,0.1,1,0.1,12,100
Dog Rescue Shelter,1,0,2.3,0.1,1,0.1,12,44
Cyber 0N1 Force,1,0,3.1,0,3,0.1,12,98
#NFTArt,1,0,6.7,0.1,1,0.1,12,15
Planet Line,1,0,0.1,0.1,1,0.1,12,750
Wee Wee Pals,1,0,9.1,0,1,0,12,11
mnknd88 Collection,1,0,4.2,0,2,0,12,48
Bone Devil,1,0,6.7,0,2,0,12,30
Rare Stars Around Us,1,0,4.8,0,1,0,12,21
NiftyNauts,1,0,2.4,0,1,0,12,42
"GM, 365.",1,0,1,0,1,0,12,104
Strange Smiley,1,0,2,0,1,0,12,50
BlockFunks,1,0,1,0,1,0,12,100
